id;Utilisateur;Date_Création;Technicien;Etats;Urgence;Date_Fin
1;Hoguin;05/06/2023;Null;Ouvert;Null;Null
2;Oster;12/07/2023;Matthieu;En_cours;faible;Null
3;Bob;18/08/2023;David;Fermé;important;25/08/2023
4;Alice;23/09/2023;Elias;Fermé;urgent;28/09/2023
5;Toto;01/10/2023;Null;Ouvert;Null;Null
6;Hoguin;07/11/2023;Null;Ouvert;Null;Null
7;Toto;15/12/2023;Teddy;En_cours;faible;Null
8;Hoguin;21/01/2024;Null;Ouvert;Null;Null
9;Bob;03/02/2024;Null;Ouvert;Null;Null
10;Hoguin;12/03/2024;David;Fermé;important;18/03/2024
11;Alice;29/04/2024;Elias;Fermé;urgent;03/05/2024
12;Toto;06/05/2024;Null;Ouvert;Null;Null
13;Oster;13/06/2024;Null;Ouvert;Null;Null
14;Hoguin;20/07/2024;Matthieu;En_cours;faible;Null
15;Bob;27/08/2024;Null;Ouvert;Null;Null
16;Alice;04/09/2024;Matthieu;En_cours;moyen;Null
17;Hoguin;10/10/2024;David;Fermé;important;15/10/2024
18;Oster;16/11/2024;Teddy;Fermé;urgent;20/11/2024
19;Bob;23/12/2024;Null;Ouvert;Null;Null
20;Hoguin;01/01/2023;Null;Ouvert;Null;Null
21;Alice;09/02/2023;Teddy;En_cours;moyen;Null
22;Toto;18/03/2023;Null;Ouvert;Null;Null
23;Hoguin;25/04/2023;Matthieu;Fermé;urgent;30/04/2023
24;Oster;02/06/2023;Null;Ouvert;Null;Null
25;Bob;10/07/2023;Alexis;En_cours;moyen;Null
26;Hoguin;17/08/2023;Null;Ouvert;Null;Null
27;Alice;24/09/2023;Elias;En_cours;faible;Null
28;Toto;01/10/2023;Null;Ouvert;Null;Null
29;Hoguin;08/11/2023;Matthieu;Fermé;important;13/11/2023
30;Oster;15/12/2023;Teddy;Fermé;urgent;20/12/2023
31;Bob;22/01/2024;Null;Ouvert;Null;Null
32;Hoguin;29/02/2024;Matthieu;En_cours;moyen;Null
33;Toto;07/03/2024;Null;Ouvert;Null;Null
34;Alice;13/04/2024;David;Fermé;important;18/04/2024
35;Hoguin;20/05/2024;Matthieu;Fermé;urgent;25/05/2024
36;Oster;28/06/2024;Null;Ouvert;Null;Null
37;Bob;05/08/2024;David;En_cours;faible;Null
38;Hoguin;12/09/2024;Null;Ouvert;Null;Null
39;Alice;20/10/2024;Elias;Fermé;urgent;25/10/2024
40;Toto;27/11/2024;Alexis;En_cours;faible;Null
41;Hoguin;04/01/2025;David;Fermé;moyen;10/01/2025
42;Oster;11/02/2025;Null;Ouvert;Null;Null
43;Bob;18/03/2023;Matthieu;Fermé;important;23/03/2023
44;Hoguin;25/04/2023;Teddy;En_cours;faible;Null
45;Toto;03/06/2023;Null;Ouvert;Null;Null
46;Alice;09/07/2023;David;Fermé;urgent;14/07/2023
47;Hoguin;17/08/2023;Null;Ouvert;Null;Null
48;Oster;24/09/2023;David;Fermé;urgent;29/09/2023
49;Toto;01/11/2023;David;En_cours;moyen;Null
50;Bob;09/12/2023;Elias;Fermé;important;14/12/2023
51;Hoguin;16/01/2024;Null;Ouvert;Null;Null
52;Alice;25/02/2024;Teddy;Fermé;urgent;02/03/2024
53;Oster;03/04/2024;Alexis;Fermé;urgent;08/04/2024
54;Toto;10/05/2024;David;Fermé;urgent;15/05/2024
55;Hoguin;05/06/2023;David;Fermé;faible;10/06/2023
56;Bob;12/07/2023;Elias;En_cours;moyen;Null
57;Toto;18/08/2023;Matthieu;Fermé;important;25/08/2023
58;Alice;23/09/2023;Teddy;En_cours;urgent;Null
59;Hoguin;01/10/2023;Alexis;Fermé;faible;08/10/2023
60;Oster;07/11/2023;David;En_cours;moyen;Null
61;Toto;15/12/2023;Matthieu;Fermé;urgent;20/12/2023
62;Alice;21/01/2024;Elias;En_cours;important;Null
63;Hoguin;03/02/2024;Teddy;Fermé;faible;08/02/2024
64;Bob;12/03/2024;Alexis;En_cours;moyen;Null
65;Toto;29/04/2024;David;Fermé;urgent;03/05/2024
66;Oster;06/05/2024;Matthieu;En_cours;faible;Null
67;Hoguin;13/06/2024;Teddy;Fermé;important;18/06/2024
68;Alice;20/07/2024;Elias;En_cours;urgent;Null
69;Toto;27/08/2024;Alexis;Fermé;moyen;01/09/2024
70;Bob;04/09/2024;Matthieu;En_cours;faible;Null
71;Hoguin;10/10/2024;David;Fermé;urgent;15/10/2024
72;Oster;16/11/2024;Teddy;En_cours;moyen;Null
73;Toto;23/12/2024;Elias;Fermé;urgent;28/12/2024
74;Hoguin;01/01/2023;Matthieu;En_cours;important;Null
75;Alice;09/02/2023;Teddy;Fermé;faible;14/02/2023
76;Bob;18/03/2023;Alexis;En_cours;urgent;Null
77;Toto;25/04/2023;David;Fermé;faible;30/04/2023
78;Oster;02/06/2023;Elias;En_cours;moyen;Null
79;Hoguin;10/07/2023;Teddy;Fermé;urgent;15/07/2023
80;Alice;17/08/2023;Alexis;En_cours;urgent;Null
81;Bob;24/09/2023;Matthieu;Fermé;moyen;29/09/2023
82;Toto;01/10/2023;Elias;En_cours;faible;Null
83;Hoguin;08/11/2023;David;Fermé;important;13/11/2023
84;Oster;15/12/2023;Teddy;En_cours;moyen;Null
